id	kind	prose_len	bytes	lines	max_run	hazard_classes	origin	note
r01	real	223	270	0	89	MD-BACKTICK,LEN-OVER	transcript 62d419ff:163dfa7c 2026-08-15T09:43:59Z	ollama pull failed, connection reset, model list still empty
r02	real	228	275	2	109	LEN-OVER,SPLIT-NEWLINE	transcript d51e4ee0:2fcff9dc 2026-08-14T19:30:01Z	agreeing to push each research branch as its agent lands
r03	real	277	334	2	75	PATH-EXT,NUM-UNIT,SPLIT-NEWLINE	transcript 62d419ff:90f30f28 2026-08-15T09:46:17Z	reading curl_rc and resp_bytes to prove where the ollama call died
r04	real	313	369	2	104	MD-BACKTICK,ID-SNAKE,ID-CAMEL,ID-ASSIGN,SPLIT-NEWLINE	transcript 62d419ff:9ff001d4 2026-08-15T09:45:53Z	stage 1 of the buffer-to-final chunk reconstruction verified
r05	real	531	641	9	112	MD-ASTERISK,MD-BACKTICK,MD-ORDERED,PATH-SLASH,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript d51e4ee0:7bf03f54 2026-08-14T19:44:36Z	why --bare is disqualified for the claude-cli provider
r06	real	507	611	4	133	MD-ASTERISK,MD-BACKTICK,PATH-EXT,PATH-SLASH,PATH-HYPHEN-EXT,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript d51e4ee0:33da1536 2026-08-14T19:29:18Z	fast-forward merge of the issue-tracker doc onto the fork
r07	real	492	681	11	80	MD-BACKTICK,MD-FENCE,PATH-TILDE,NUM-UNIT,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript 62d419ff:ef8c3dae 2026-08-14T19:50:55Z	why brew install ollama compiles from source at a custom prefix
r08	real	641	788	4	137	MD-BACKTICK,ID-ACRONYM,PATH-SLASH,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript d51e4ee0:ee2b1a86 2026-08-14T19:28:35Z	three research agents running in isolated worktrees
r09	real	973	1180	16	105	MD-ASTERISK,MD-BULLET,MD-ORDERED,ID-CAMEL,ID-VOWELLESS,PATH-SLASH,NUM-UNIT,NUM-PERCENT,URL,CHUNK-510-PUNCT,CHUNK-LIST-SAFE,SPLIT-NEWLINE	transcript d51e4ee0:4b9fefa7 2026-08-14T19:35:15Z	a sibling session in a split pane picking up the setup work
r10	real	1328	1576	15	251	MD-ASTERISK,MD-BACKTICK,MD-BULLET,MD-BLOCKQUOTE,ID-CAMEL,ID-ACRONYM,PATH-EXT,PATH-SLASH,PATH-TILDE,NUM-VERSION,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript d51e4ee0:5035dfab 2026-08-14T19:25:17Z	negative search result: the setting is in no file on disk
r11	real	1999	2387	17	125	MD-ASTERISK,MD-UNDERSCORE,MD-BACKTICK,MD-PIPE,ID-SCREAM,ID-ACRONYM,ID-VOWELLESS,PATH-EXT,PATH-SLASH,PATH-HYPHEN-EXT,NUM-4DIGIT,NUM-UNIT,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript 62d419ff:6fe9decd 2026-08-14T19:37:16Z	prompt-injection scan clean, plus the one decision needed
r12	real	2434	2933	14	104	MD-ASTERISK,MD-UNDERSCORE,MD-BACKTICK,ID-SCREAM,ID-VOWELLESS,PATH-EXT,PATH-SLASH,NUM-UNIT,NUM-PERCENT,EMOJI,SYM,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript d51e4ee0:ffbbe32e 2026-08-14T19:10:08Z	turning a conditional question into a research ticket with a decision rule
r13	real	864	1243	24	342	MD-BACKTICK,MD-FENCE,MD-FENCE-MULTI,MD-BULLET,ID-CAMEL,ID-ACRONYM,ID-SHA,PATH-EXT,PATH-SLASH,PATH-ABS,SYM,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript 62d419ff:e9314dee 2026-08-25T09:31:35Z	step 2 of the marketplace rename: a ONE-line fence and a FOUR-line fence in the same real message, the four /plugin commands sitting after a colon lead-in; the first REAL multi-line code block in the corpus, and the rewrite kept both bodies byte-identical — max_run 342, the highest of any real item
r14	real	1133	1474	21	189	MD-UNDERSCORE,MD-BACKTICK,MD-FENCE,MD-FENCE-MULTI,MD-BLOCKQUOTE,ID-SCREAM,ID-SNAKE,ID-ASSIGN,NUM-4DIGIT,NUM-THOUSANDS,NUM-UNIT,EMOJI,CHUNK-510-PUNCT,SPLIT-NEWLINE	transcript 62d419ff:bf63018e 2026-08-25T09:38:31Z	why a long message fails open on ollama's 4096-token window: three fences of 2, 2 and 3 lines in the source, but the rewrite kept only the first and dropped the other two with their prose, so the spoken half is single-block and lost MD-HASH
s01	synthetic	141	171	1	81	MD-ASTERISK,MD-UNDERSCORE,LEN-UNDER	hand-authored	asterisk markers: inline **bold**, *starred*, and the sentence-initial **Done.** case that tags differently
s02	synthetic	167	209	6	59	MD-HASH,NUM-UNIT,LEN-UNDER,SPLIT-NEWLINE	hand-authored	# / ## / ### heading markers, each voiced as "hash" up to espeak's $max3
s03	synthetic	154	185	1	56	MD-BACKTICK,ID-SNAKE,ID-VOWELLESS,PATH-EXT,LEN-UNDER	hand-authored	inline backticks around identifiers, which survive as curly-quote prosody
s04	synthetic	170	211	5	205	MD-BULLET,NUM-UNIT,LEN-UNDER,CHUNK-LIST-SAFE,SPLIT-NEWLINE	hand-authored	a - bulleted list; its lines carry no terminal punctuation, but the fused run is short enough to be safe
s05	synthetic	147	186	5	43	MD-ORDERED,LEN-UNDER,SPLIT-NEWLINE	hand-authored	an ordered 1. 2. 3. list, where the marker is read as "one."
s06	synthetic	207	261	7	254	MD-BLOCKQUOTE,MD-PIPE,LEN-OVER,SPLIT-NEWLINE	hand-authored	> blockquote line plus a | pipe table, both reported silent
s07	synthetic	145	258	5	85	MD-BACKTICK,MD-FENCE,NUM-UNIT,LEN-UNDER,SPLIT-NEWLINE	hand-authored	a fenced code block mid-prose, fences voiced as three curly quotes each side
s08	synthetic	127	148	1	22	ID-VOWELLESS,PATH-EXT,PATH-HYPHEN-EXT,LEN-UNDER	hand-authored	bare filenames with extensions, including rewrite-md.sh where espeak plants a full stop
s09	synthetic	39	48	1	11	ID-VOWELLESS,PATH-EXTBARE,LEN-UNDER	hand-authored	control: the five bare extensions measured phoneme-identical in both frontends
