1787685941.686677	1	proposed	S5_scratch	racer	81556	published	gen=0
1787685941.687178	1	proposed	S5_scratch	racer	81556	owner	via=election
1787685941.702359	1	proposed	S5_scratch	racer	81559	lost	held_by=81556 gen=0
1787685941.740286	1	proposed	S5_scratch	racer	81557	lost	held_by=81556 gen=0
1787685941.794016	1	proposed	S5_scratch	racer	81568	lost	held_by=81556 gen=0
1787685941.800412	1	proposed	S5_scratch	racer	81571	lost	held_by=81556 gen=0
1787685941.803725	1	proposed	S5_scratch	racer	81564	lost	held_by=81556 gen=0
1787685941.810835	1	proposed	S5_scratch	racer	81558	lost	held_by=81556 gen=0
1787685941.817611	1	proposed	S5_scratch	racer	81569	lost	held_by=81556 gen=0
1787685941.825162	1	proposed	S5_scratch	racer	81570	lost	held_by=81556 gen=0
1787685941.825718	1	proposed	S5_scratch	racer	81561	lost	held_by=81556 gen=0
1787685941.827721	1	proposed	S5_scratch	racer	81562	lost	held_by=81556 gen=0
1787685941.832806	1	proposed	S5_scratch	racer	81565	lost	held_by=81556 gen=0
1787685941.836089	1	proposed	S5_scratch	racer	81560	lost	held_by=81556 gen=0
1787685941.836571	1	proposed	S5_scratch	racer	81563	lost	held_by=81556 gen=0
1787685941.838706	1	proposed	S5_scratch	racer	81567	lost	held_by=81556 gen=0
1787685941.841300	1	proposed	S5_scratch	racer	81566	lost	held_by=81556 gen=0
