# claudish audition verdicts
# page generated 2026-08-25 14:42 UTC
# exported 2026-08-25T16:40:08.541Z
# blinding is currently ON; the per-row blinding column is the state when THAT verdict was recorded
# progress: 15/101 pairs, 0/4 voice items, 0/27 length items
# text_identical / phonemes_identical / wav_identical were measured at generation time and are NOT shown on the page while a pair is blinded

section	axis	item	kind	chars_in	pair	side_a	side_b	reference_side	blinding	verdict	preferred_variant	text_identical	phonemes_identical	wav_identical	phonemes_a_b	note	judged_at
sanitizer	axis1-ticks	r01	real	268	r01:none	none	base	b				true	true	true	290/290		
sanitizer	axis1-ticks	r01	real	268	r01:tick-strip	base	tick-strip	a				false	true	true	290/290		
sanitizer	axis1-ticks	r01	real	268	r01:tick-pause	base	tick-pause	a				false	false	false	290/299		
sanitizer	axis1-ticks	r04	real	369	r04:none	base	none	a				false	true	true	440/440		
sanitizer	axis1-ticks	r04	real	369	r04:tick-strip	tick-strip	base	b				false	true	true	440/440		
sanitizer	axis1-ticks	r04	real	369	r04:tick-pause	tick-pause	base	b				false	false	false	443/440		
sanitizer	axis1-ticks	s03	synthetic	185	s03:tick-strip	tick-strip	base	b				false	true	true	206/206		
sanitizer	axis1-ticks	s03	synthetic	185	s03:tick-pause	base	tick-pause	a				false	false	false	206/223		
sanitizer	axis2-linebreak	r09	real	1176	r09:none	none	base	b				false	false	false	1580/1277		
sanitizer	axis2-linebreak	r09	real	1176	r09:lb-comma	base	lb-comma	a				false	false	false	1277/1277		
sanitizer	axis2-linebreak	s37	synthetic	653	s37:lb-comma	base	lb-comma	a				false	false	false	662/662		
sanitizer	axis2-linebreak	s38	synthetic	106	s38:none	none	base	b				false	false	false	108/112		
sanitizer	axis2-linebreak	s38	synthetic	106	s38:lb-comma	base	lb-comma	a				false	false	false	112/112		
sanitizer	axis3-paths	r06	real	611	r06:none	base	none	a	blind	A is better	base	false	false	false	645/654		2026-08-25T11:27:54.486Z
sanitizer	axis3-paths	r06	real	611	r06:path-basename	base	path-basename	a				false	false	false	645/616		
sanitizer	axis3-paths	r06	real	611	r06:path-shorten	path-shorten	base	b				false	false	false	632/645		
sanitizer	axis3-paths	r06	real	611	r06:path-expand	path-expand	base	b				false	false	false	652/645		
sanitizer	axis3-paths	s10	synthetic	172	s10:none	none	base	b				false	true	true	225/225		
sanitizer	axis3-paths	s10	synthetic	172	s10:path-basename	base	path-basename	a				false	false	false	225/156		
sanitizer	axis3-paths	s10	synthetic	172	s10:path-shorten	path-shorten	base	b				false	false	false	199/225		
sanitizer	axis3-paths	s10	synthetic	172	s10:path-expand	base	path-expand	a				false	false	false	225/252		
sanitizer	axis3-paths	s11	synthetic	144	s11:none	base	none	a				false	true	true	199/199		
sanitizer	axis3-paths	s11	synthetic	144	s11:path-nolead	base	path-nolead	a				false	false	false	199/182		
sanitizer	axis3-paths	s11	synthetic	144	s11:path-basename	path-basename	base	b				false	false	false	113/199		
sanitizer	axis3-paths	s11	synthetic	144	s11:path-expand	base	path-expand	a				false	false	false	199/214		
sanitizer	axis3-paths	s12	synthetic	189	s12:none	base	none	a				false	true	true	257/257		
sanitizer	axis3-paths	s12	synthetic	189	s12:path-nolead	path-nolead	base	b				false	false	false	221/257		
sanitizer	axis3-paths	s12	synthetic	189	s12:path-basename	base	path-basename	a				false	false	false	257/155		
sanitizer	axis3-paths	s12	synthetic	189	s12:path-shorten	base	path-shorten	a				false	false	false	257/197		
sanitizer	axis3-paths	s12	synthetic	189	s12:path-expand	path-expand	base	b				false	true	true	257/257		
sanitizer	axis4-markdown	r09	real	1176	r09:md-swallow	md-swallow	base	b				false	false	false	1473/1277		
sanitizer	axis4-markdown	r09	real	1176	r09:md-strip-plus	md-strip-plus	base	b				false	false	false	1265/1277		
sanitizer	axis4-markdown	s01	synthetic	171	s01:none	none	base	b				false	false	false	263/162		
sanitizer	axis4-markdown	s01	synthetic	171	s01:md-swallow	md-swallow	base	b				false	false	false	263/162		
sanitizer	axis4-markdown	s01	synthetic	171	s01:md-strip-plus	md-strip-plus	base	b				false	true	true	162/162		
sanitizer	axis4-markdown	s02	synthetic	209	s02:md-swallow	md-swallow	base	b				false	false	false	255/231		
sanitizer	axis4-markdown	s06	synthetic	261	s06:md-strip-plus	md-strip-plus	base	b				false	true	true	282/282		
