tag	event	ts
t10a	entry	1787694726.732716339
t10b	entry	1787694728.324265833
t11a	entry	1787694738.707416857
t11b	entry	1787694740.303540162
t12a	entry	1787694750.718108908
t12b	entry	1787694752.291324574
t1a	entry	1787694619.220538322
t1b	entry	1787694620.800142209
t2a	entry	1787694631.118284885
t2b	entry	1787694632.699021599
t3a	entry	1787694643.101279822
t3b	entry	1787694644.673420244
t4a	entry	1787694655.202337517
t4b	entry	1787694656.781645112
t5a	entry	1787694667.123597795
t5b	entry	1787694668.700146654
t6a	entry	1787694679.075367133
t6b	entry	1787694680.643559616
t7a	entry	1787694690.993092137
t7b	entry	1787694692.574900553
t8a	entry	1787694702.880904912
t8b	entry	1787694704.464832526
t9a	entry	1787694714.847667010
t9b	entry	1787694716.456818084
warmup	entry	1787694612.197359417
t10a	K	1787694726.732981171
t10b	K	1787694728.324575623
t11a	K	1787694738.707586148
t11b	K	1787694740.303983660
t12a	K	1787694750.718398531
t12b	K	1787694752.291556156
t1a	K	1787694619.220840654
t1b	K	1787694620.800429457
t2a	K	1787694631.118545801
t2b	K	1787694632.699267847
t3a	K	1787694643.101412905
t3b	K	1787694644.673526285
t4a	K	1787694655.202570182
t4b	K	1787694656.781888777
t5a	K	1787694667.123760878
t5b	K	1787694668.700627651
t6a	K	1787694679.075500591
t6b	K	1787694680.643742865
t7a	K	1787694690.993337844
t7b	K	1787694692.575127760
t8a	K	1787694702.881204827
t8b	K	1787694704.465096650
t9a	K	1787694714.848151049
t9b	K	1787694716.456937626
warmup	K	1787694612.197589083
t10a	R	1787694726.864114240
t10b	R	1787694728.456806979
t11a	R	1787694738.835622274
t11b	R	1787694740.433905818
t12a	R	1787694750.842933174
t12b	R	1787694752.415431553
t1a	R	1787694619.348351699
t1b	R	1787694620.926360927
t2a	R	1787694631.241328994
t2b	R	1787694632.833882692
t3a	R	1787694643.224751137
t3b	R	1787694644.795812398
t4a	R	1787694655.328513818
t4b	R	1787694656.906100714
t5a	R	1787694667.242290592
t5b	R	1787694668.834024751
t6a	R	1787694679.195943462
t6b	R	1787694680.773002027
t7a	R	1787694691.118026195
t7b	R	1787694692.695445882
t8a	R	1787694703.008544790
t8b	R	1787694704.588413132
t9a	R	1787694714.975337304
t9b	R	1787694716.579358737
warmup	R	1787694612.332989381
t10a	Rdone	1787694726.883703562
t10b	Rdone	1787694728.475194181
t11a	Rdone	1787694738.851819487
t11b	Rdone	1787694740.449723366
t12a	Rdone	1787694750.853695997
t12b	Rdone	1787694752.429434568
t1a	Rdone	1787694619.363652624
t1b	Rdone	1787694620.940686315
t2a	Rdone	1787694631.257798956
t2b	Rdone	1787694632.853034181
t3a	Rdone	1787694643.231890936
t3b	Rdone	1787694644.828328573
t4a	Rdone	1787694655.342970165
t4b	Rdone	1787694656.920266853
t5a	Rdone	1787694667.254899905
t5b	Rdone	1787694668.850632920
t6a	Rdone	1787694679.208310860
t6b	Rdone	1787694680.791771185
t7a	Rdone	1787694691.131984377
t7b	Rdone	1787694692.705361376
t8a	Rdone	1787694703.022804887
t8b	Rdone	1787694704.598884956
t9a	Rdone	1787694714.992447263
t9b	Rdone	1787694716.597018776
warmup	Rdone	1787694612.347313020
