id	band	prose_len	bytes	lines	origin	note
ack01	ACK	20	23	0	transcript 1a9bf25f:23022989 2026-08-15T10:19:41.727Z	the shortest real assistant message in 142
ack02	ACK	44	50	0	transcript 1a9bf25f:3a8b308d 2026-08-15T13:23:58.717Z	delegation narration
ack03	ACK	51	61	0	transcript 1a9bf25f:c511686d 2026-08-15T10:05:08.304Z	next-steps narration, three clauses
ack04	ACK	62	74	0	transcript 62d419ff:13cc9548 2026-08-14T19:34:31.406Z	opening narration of a session
ack05	ACK	76	92	0	transcript 1a9bf25f:17379864 2026-08-15T13:39:19.196Z	narration naming what it is about to verify
ack06	ACK	110	130	0	transcript 1a9bf25f:14a3a222 2026-08-15T11:43:12.717Z	housekeeping narration with a parenthetical
ack07	ACK	147	179	0	transcript d51e4ee0:7f1e3e51 2026-08-14T19:46:09.448Z	agreeing with a scope call; a judgement, no new fact
ack08	ACK	198	242	2	transcript 1a9bf25f:e3259eeb 2026-08-15T11:58:52.150Z	two paragraphs, prose_len 198 - the closest real item under the gate
fct01	FACT	34	40	0	transcript d51e4ee0:e96be3b1 2026-08-14T19:19:04.519Z	'frontier is empty' is a state claim; shortest fact-carrying item found
fct02	FACT	60	71	0	transcript 1a9bf25f:5f9b1c3a 2026-08-15T10:39:41.228Z	24 kHz, mono - NUM-UNIT at minimum length
fct03	FACT	79	95	0	transcript 62d419ff:5247c0f2 2026-08-15T09:44:58.855Z	a negative result, with a backticked identifier
fct04	FACT	83	100	0	transcript 1a9bf25f:b91c2dce 2026-08-15T10:32:28.963Z	**238 MB** - bold markers and a unit
fct05	FACT	98	115	0	transcript 62d419ff:1ba394c8 2026-08-15T09:43:09.727Z	a host:port and a size in GB
fct06	FACT	120	149	0	transcript 1a9bf25f:0b550b26 2026-08-15T10:39:28.344Z	**0.0%**, *falls*, an en-dashed range, tilde-approximations
fct07	FACT	122	149	0	transcript 1a9bf25f:17eff123 2026-08-15T10:37:27.849Z	two measured numbers and a correction of an earlier one
fct08	FACT	194	228	0	transcript 1a9bf25f:e9ee4f7a 2026-08-15T11:49:40.656Z	prose_len 194, paths and extensions, just under the gate
